id_flood,location,dcode,scode,geometry
001,จุดอ่อนน้ำท่วมดอนเมืองอนุสรสถาน,1036,103605,POINT (674982.813207 1542933.853675)
002,จุดอ่อนน้ำท่วมแจ้งวัฒนะ,1041,104105,POINT (668776.3564 1536365.739537)
003,จุดอ่อนน้ำท่วมพหลโยธินแยกเกษตร,1030,103001,POINT (670138.195285 1530585.771037)
004,จุดอ่อนน้ำท่วมลาดพร้าว บางกะปิ นวมินทร์,1006,100601,POINT (678159.4879 1522497.8534)
005,ขุดอ่อนน้ำท่วมพหลโยธินสนามเป้า,1014,101401,POINT (666492.95869 1522607.488183)
006,จุดอ่อนน้ำท่วมถนนเพชรบุรี จากรถไฟถึงอโศก,1037,103704,POINT (667414.343056 1520602.024066)
007,จุดอ่อนน้ำท่วม ถนนทหาร พราะรามที่ 6  คลองสามเสน,1002,100206,POINT (664456.3197 1525824.1804)
008,จุดอ่อนน้ำท่วมพระรามที่5 ผดุงกรุงเกษม คลองสามเสน,1002,100201,POINT (663508.347682 1521920.602181)
009,จุดอ่อนน้ำท่วมรามคำแหง,1006,100608,POINT (677350.1929 1522021.6919)
010,จุดออ่นน้ำทวม ถนนพระจันทร์ ถนนพระลาน,1001,100101,POINT (660971.894188 1520851.363472)
011,จุดอ่อนน้ำท่วมถนนจันทร์ เซ็นหลุย สวนพลู,1028,102803,POINT (666210.2899 1517544.8519)
012,จุดอ่อนน้ำท่วมถนนพระราม 1,1007,100703,POINT (665536.8109 1520149.182)
013,จุดอ่อนน้ำท่วมสุขุมวิท,1034,103401,POINT (673761.073591 1516579.092815)
014,จุดอ่อนน้ำท่วมถนนสุขุมวิทศรีนครินทร์,1034,103401,POINT (677813.404727 1516524.980059)
015,จุดอ่อนน้ำท่วม ตลิ่งชันฉิมพลีสวนผัก,1019,101902,POINT (655631.33872 1525643.017196)
016,จุดอ่อนน้ำท่วมเพชรเกษม,1040,104002,POINT (653807.125776 1516364.367245)
017,จุดอ่อนน้ำท่วมถนนบางบอน (เขตบางบอน),1050,10501,POINT (648770.663778 1508726.614794)
018,จุดอ่อนน้ำท่วมถนนบางขุนเทียน (บางขุนเทียน),1021,102107,POINT (655024.471798 1509911.776205)
019,จุดอ่อนน้ำท่วมถนนประชาอุทิศ (เขตทุ่งครุ),1049,104902,POINT (662281.67389 1508587.602096)
020,จุดอ่อนน้ำท่วมถนนสุวินทวงศ์ (เขตมีนบุรี),1010,101001,POINT (687592.299762 1528349.830109)