id_canal,name_canal,Water Storage,TEMP_54,TEMP_55,TEMP_56,TEMP_57,pH_54,pH_55,pH_56,pH_57,DO_54,DO_55,DO_56,DO_57,H2S_54,H2S_55,H2S_56,H2S_57,BOD_54,BOD_55,BOD_56,BOD_57,COD_54,COD_55,COD_56,COD_57,SS_54,SS_55,SS_56,SS_57,TKN_54,TKN_55,TKN_56,TKN_57,NH3N_54,NH3N_55,NH3N_56,NH3N_57,NO2_54,NO2_55,NO2_56,NO2_57,NO3_54,NO3_55,NO3_56,NO3_57,T-P_54,T-P_55,T-P_56,T-P_57
1,คลองกรวย,ซ.เจริญกรุง 71,28.8,29.1,29.4,29.8,7,6.9,7.4,7.2,0.9,0,1.5,1,0.2,0.2,1,0.2,18.8,38.2,17.5,25.4,71.3,199.1,193.8,109.5,20.2,84.5,24.9,34.2,11.4,11,11.2,10.9,7.8,7.5,8.3,7.9,0.1,0.2,0.2,0.2,2.2,2.2,2.8,2.5,0.6,1.3,1,1.1
2,คลองกุ่ม,หมู่บ้านสหกรณ์ (ซ.28),29.4,29,29.4,29.3,7.1,7.2,7.5,7.5,0.7,0.5,0,0.5,0.2,0.1,2.4,2.5,20.2,32.5,36.1,24.5,77,121.3,246.4,93.3,25.1,32.6,27.8,25.5,9.5,13.7,25.9,23.7,6.1,11,23.2,18.8,0,0.1,0.1,0,2.5,2.4,2.6,2.8,0.9,1.4,1.7,1.3
3,คลองกุ่ม,ถ.สุขาภิบาล 2,29.4,29,29.4,29.3,7.1,7.1,7.5,7.4,0.6,2.1,1.9,1.5,0.2,0.1,0.1,1.3,18.3,14.5,13.8,18.1,69.3,84,97.8,73.6,27,27.2,22.3,21.3,8.9,10,13.2,16.6,6,6.1,9.5,13.4,0.1,0.4,0.3,0.2,2.6,2.1,2.2,2.7,0.8,1,1.3,1.3
4,คลองเกร็ด,ถ.ปัญญา - เนเจอรัลปาร์ค,30.7,29.3,29.6,29,7,7,7.3,7.2,0.9,0.6,0.1,0.1,0.8,0.1,1.4,3.1,12.4,10.4,11.4,14.4,38.9,58.2,83.5,56.5,9,21.5,10.9,11.2,7.7,7.5,14.4,13.7,4.4,4.8,11.2,11.4,0.1,0.2,0.3,0.1,2.5,2.2,2.3,2.6,0.5,0.8,1.2,1
5,คลองขวาง,ถ.เจริญกรุง 72,28.8,29.1,29.4,29.8,7.1,6.9,7.4,7.2,0.4,0.5,0.1,0.3,0.2,0.2,1.2,0.4,21.2,24.9,28.9,24.1,73.3,93.2,140.6,90.1,18.7,39.1,18.4,23.4,12.4,9.1,15.2,12.9,8.8,6,12.5,10.2,0.1,0.2,0.2,0.1,2.6,1.9,2.3,2.3,0.7,1.1,1.2,1.6
6,คลองขุนราชวินิตใจ,หน้า ปตร.คลองขุนฯ,30.4,30.9,30.8,29.8,7.4,7.3,7.5,7.5,3.3,3.8,3.8,3,0,0,0,0,6.3,4,7.3,8.3,65.7,96,56.5,62.5,26.7,9,14.4,38.6,3.4,2.6,2.7,2.7,0.6,0.5,1.1,1,0.8,0.7,0.1,0.1,0.7,0.2,0.3,0.2,1.2,1.5,1.6,1.7
7,คลองขุนราชวินิตใจ,ตรงข้าม ปตร.รางสะแก,30.3,30.5,30.8,29.8,7.4,7.5,7.5,7.5,4,4.3,2.8,3,0,0,0,0,6,6.5,6.5,7.7,66.7,51.8,64.1,54.3,19.2,14,11.4,17.3,2.6,3.2,2.7,2.5,0.7,0.9,1.2,1.1,0.6,0.4,0.1,0.2,0.4,1,0.4,0.6,1.2,1.5,1.5,1.8
8,คลองขุนราชวินิตใจ,วัดหัวกระบือ,30.4,30.8,30.4,29.8,7.5,7.4,7.5,7.5,3.4,3.7,3,2.1,0,0,0,0,8.7,5.8,7,9.8,68.8,48.9,59.5,65.1,21.9,21.9,14,31.8,3.2,2.7,2.6,2.8,0.5,1,1.1,0.9,0.4,0.4,0.2,0.1,0.4,1,0.3,0.3,1.4,1.5,1.7,1.7
9,คลองครุ,ถ.เสรีไทย 67,30.7,29.3,29.6,29,7.1,7.3,7.4,7.3,1,3,2.3,1.5,0.1,0,0.1,0,11.2,11.4,10.8,11.8,39.5,90.9,94.5,62.4,11.9,24.4,13.9,20.2,6.4,7.4,13.7,13,3.7,4.3,11.1,9.1,0.1,0.1,0.4,0.2,2.5,2.1,2.8,2.3,0.7,0.9,1.1,1
10,คลองควาย,ถ.พุทธมณฑลสาย 2,30.5,30.5,30.8,30.2,7.5,7.5,7.5,7.5,2.4,2.4,2.6,2.2,0,0,0,0,7.7,7.4,7.8,10.2,59.6,62,58.1,49.2,19.2,14.6,15,23.3,3.5,3.1,2.4,2.4,0.4,0.5,0.8,1,0.8,0.3,0,0.1,0.3,0.7,0.4,0.4,1.3,1.3,1.7,1.6
11,คลองคอตัน,ถ.ปัญญา - เนเจอรัลปาร์ค,30.7,29.3,29.6,29,7,7.2,7.3,7.1,1.4,3.9,2.2,0.9,0.3,0,0.1,0.6,9.3,9.8,6.3,10.7,37.2,100.5,121.5,52.6,18.3,27.1,15.4,17.4,5.9,6.1,7.5,10.6,3.1,2.6,5.4,6.6,0.1,0.2,0.4,0.2,2.5,2.6,2.4,2.3,0.5,0.8,1,0.8
12,คลองคูเมืองเดิม,ปตร.ราชินี,29.2,28.5,29.1,29.3,6.9,6.8,7.5,7.2,1.8,1,1.6,3.1,0,0.1,0.1,0,8.4,9.7,9.8,6.6,31.7,35.5,67.1,52.6,23.6,26.2,19.5,23.8,5.2,4.4,6.6,3.7,2.3,2.3,2.9,1.6,0.2,0.2,0.3,0.4,2.8,2.1,1.7,2.8,0.4,0.6,0.7,0.4
13,คลองคูเมืองเดิม,หน้ากรมที่ดิน,29.2,28.5,29.1,29.3,7,6.9,7.5,7.3,2.3,1.5,3.1,3.2,0,0,0,0,5.8,6.1,5.4,7,26.7,34.4,101,56.7,34,24.1,12.9,16.6,3.9,3.8,4.3,4.6,1.4,1.1,1.2,2.5,0.2,0.3,0.4,0.4,2.5,1.7,2.1,2.7,0.4,0.4,0.5,0.4
14,คลองคูเมืองเดิม,อนุสาวรีย์พระแม่ธรณีบีบมวยผม สนามหลวง,29.2,28.5,29.1,29.3,7,6.9,7.4,7.2,2.3,1.7,3,1.5,0,0,0.1,0.3,6.6,6.2,7.1,9.8,27.3,25.5,96.3,49.9,24.6,26.3,14.6,16,3.7,3.4,5,7,1.6,0.8,1.5,2.6,0.2,0.3,0.6,0.2,2.5,1.9,2.7,1.9,0.3,0.3,0.5,0.6
15,คลองคูเมืองเดิม,ปตร.พระปิ่นเกล้า,29.2,28.5,29.1,29.3,7,6.9,7.4,7.2,2.6,3.1,1.8,1.7,0,0,0,0.5,3.4,3.5,6,9.4,23.8,24.1,72.6,55.1,24.6,31.1,21.1,19.3,2.8,2.2,4.5,4.7,0.5,0,1,2.8,0.1,0.1,0.4,0.3,2.3,1.8,2.4,2.6,0.3,0.2,0.4,0.5
16,คลองเคล็ด,ถ.อุดมสุข 51 ซ.วชิรธรรมสาธิต 57,28.9,29.2,29.1,29.6,7.1,7,7.4,7.3,0.1,0,0.4,1.3,0.8,0.2,0.4,1.5,21,19.5,13.6,19.5,72.3,68.6,79.9,82,19.1,16.4,17.1,19.3,10.4,10.4,12,16.8,6.3,6.6,8.5,12.2,0,0.2,0.2,0.1,2.5,2.4,2,2.4,0.9,1,1.1,1.1
17,คลองจรเข้,ถ.สุขาภิบาล 5,29.5,28.8,29.3,29.8,6.9,6.9,7.3,7.3,0.3,0,0,0,1.6,0.4,2.4,1,22.5,39.5,34.3,18.9,77,110.6,126.4,71.4,19.3,25,14.4,14.8,11.4,17.1,19.6,14.3,8.9,13.2,17.7,11.8,0.1,0.1,0.1,0.1,2.9,2.7,2.7,2.4,0.9,1.4,1.4,1.1
18,คลองเจ็ก,ถ.สุขาภิบาล 3 ซ.รามคำแหง 149,28.6,28.5,29.3,29,7.2,7.2,7.6,7.2,2.3,2.7,3.8,2.3,0,0,0,0.2,9.1,10.7,7,9.9,55.7,68.5,146,69.8,20.8,28,15.6,20.3,3.8,8.8,7.8,10.4,1.8,4.7,5.2,7.9,0.1,0.4,0.2,0.2,2.4,2.2,1.9,2.1,0.5,0.7,0.9,0.8
19,คลองเจ็ก,ถ.รถไฟสายเก่า แฟลตเอื้ออมรสุข,28.9,29.2,29.3,29.6,7.1,6.9,7.3,7.2,0.4,1.2,0.2,0.2,0.3,0.1,0.5,1.6,15.2,13.6,15.1,18,52.8,59.1,112.1,59.3,15.2,18.9,21.4,18.3,8.1,7.6,11.4,12.3,5.3,4.5,7.9,9.4,0.1,0.2,0.2,0.1,2.2,2,2.1,2,0.7,0.8,1.1,1
20,คลองแจงร้อน,ถ.ราษฎร์บูรณะ,30.7,30.7,30.9,30.1,7.5,7.5,7.4,7.4,2.8,2.5,2.5,1.8,0,0,0,0,5.4,6.6,7,10.7,64.7,54.5,67.5,58.6,12.4,11.1,13.9,20.3,3,2.6,2.4,2.4,1.1,0.8,0.9,1,0.5,0.4,0.1,0.2,0.4,0.5,0.5,0.5,1.6,1.5,1.7,1.6
21,คลองแจงร้อน,ถ.สุขสวัสดิ์,30.4,30.6,30.5,30,7.5,7.5,7.5,7.4,2.4,2.5,2.6,2.4,0,0,0,0,5.4,5.8,7.3,10.2,61.8,48.7,59,56.5,11.7,13.6,14.8,19.5,2.1,2.7,2.6,2.6,0.7,0.9,1.1,1,0.7,0.6,0.1,0.1,0.7,0.4,0.3,0.3,1.5,1.7,1.8,1.5
22,คลองช่องนนทรี,ถ.นราธิวาสราชนครินทร์,29.4,29.1,29.5,29.3,7.2,6.9,7.5,7.2,0.4,0.7,0.4,1.6,0.1,0.1,3.1,0.1,20.4,11.6,19.3,10,62.2,67.3,119.1,67.9,15.7,21.2,43,29.2,10.8,6.9,13,7,7.6,3.6,9.7,4.1,0,0.2,0.4,0.3,2.2,1.4,1.9,2,0.8,0.8,1.2,0.8
23,คลองช่องนนทรี,ถ.นราธิวาสราชนครินทร์ ตัดแยก ถ.จันทร์,29.4,29.1,29.5,29.3,7.1,6.9,7.4,7.2,0,0.3,0,0.4,0.3,0.2,1.4,0.8,23.1,19.8,23,14.3,72.2,71.7,107.5,77,14,12.5,12.4,26.7,13.5,8.7,12.2,10.9,10.7,5.4,10,7.6,0,0.1,0.3,0.2,2.4,1.6,2.1,2,0.8,1,1.2,0.9
24,คลองช่องนนทรี,ก่อนแยกสาทร,29.4,29.1,29.5,29.3,7.2,6.9,7.4,7.2,0,0.1,0,0.5,0.6,0.1,1.4,0.8,21.6,19,23.6,15,70.7,71.1,126.3,74.4,14.7,13.5,24.6,26.1,12.3,7.9,15.1,11,9.3,5.2,12.4,7.3,0,0.1,0.3,0.2,2.5,1.9,2.4,2,1.4,1,1.4,1
25,คลองช่องนนทรี,ตัด ถ.สีลม,29.4,29.1,29.5,29.3,7.1,6.9,7.3,7.2,0.1,0.2,0,0,0.5,0.1,1.3,0.8,25.1,37.2,40.6,25.1,93.7,128.6,270.8,101.3,22.3,30,46.6,21,18.2,11.3,18.5,18.3,11.8,7.7,16.3,14,0,0.1,0.2,0.1,2.4,1.9,2.8,2.4,1.5,1.2,1.6,1.3
26,คลองช่องนนทรี,ตัด ถ.สุรวงศ์,29.4,29.1,29.5,29.3,7,6.8,7.3,7.2,0.1,0.1,0,0,0.4,0.1,1.5,1.1,24.3,46.4,46.9,35.2,104.2,143.8,287.5,133.3,22.3,38,38.1,33.3,17,12.5,19.9,20.7,12.3,8.3,17.3,15.3,0,0.1,0.2,0,2.6,2,2.5,2.7,1,1.3,1.5,1.4
27,คลองช่องนนทรี,หน้าโรงงานควบคุมคุณภาพน้ำช่องนนทรี,29.4,29.1,29.5,29.3,7,6.9,7.4,7.2,0.2,0.9,0.9,1.8,0.3,0,0.6,0.1,14.1,14.2,11.4,8,56.8,161.1,93.5,72,16.7,47.5,15.9,28,9.7,8.3,10.9,6.3,6.3,3.2,6.5,3,0,0.2,0.3,0.2,1.9,1.7,2.6,2.1,0.7,0.7,0.9,0.7
28,คลองเชิงตาแพ,ปตร.เชิงตาแพ,30.4,30.6,30.5,30.2,7.4,7.5,7.5,7.5,4.3,4.5,4.1,3.8,0,0,0,0,6.6,5.9,7,6.4,66.8,55.1,67.9,57.8,33,13.2,15.6,35.9,2.5,2.4,2.7,2.5,0.6,0.9,0.8,0.9,0.6,0.4,0.1,0,0.5,0.5,0.3,0.3,1.4,1.5,1.4,1.6
29,คลองซุง,ใต้สะพานพระราม 6 ข.ทางรถไฟบางซ่อน,28.7,28.7,29.6,29.8,7.2,7.6,7.4,7.5,2.4,6.7,2.1,4.1,0.1,0,0.1,0,12.6,5.7,6.3,4.8,71.4,52.6,82.4,41.3,40.1,26.5,14.4,20.9,6.4,2.6,5.5,3.8,3.9,0.5,2.6,1.3,0.1,0.1,0.4,0.3,2,1.7,2.3,1.9,0.4,0.2,0.5,0.3
30,คลองด่าน,ถ.เทอดไทย,30.6,30.7,30.4,30.1,7.5,7.5,7.5,7.5,3.7,3.5,3.1,1.9,0,0,0,0,6.9,8.2,7.8,9.6,62.3,71.2,68.5,53.7,13,13.5,17.9,20.8,2.5,2.4,2.5,2.1,0.7,1.1,0.7,0.8,0.5,0.3,0,0,0.8,0.4,0.5,0.3,1.4,1.7,1.5,1.5
31,คลองด่าน,ท่าน้ำวัดนางนองวรวิหาร (ถ.วุฒากาศ),30.8,30.7,30.5,30.1,7.5,7.4,7.5,7.5,3.1,3.6,3.5,1.9,0,0,0,0,7,6.5,6.3,9.3,55.7,66.7,62,54.3,13.3,14.5,13.8,19.5,3.2,2.5,2.3,2.4,0.7,0.8,1,1.3,0.6,0.7,0,0,0.4,1,0.3,0.4,1.5,1.5,1.8,1.3
32,คลองดาวคะนอง,ถ.เจริญนคร,30.9,31,30.8,30.5,7.4,7.5,7.4,7.5,3.1,3.5,3,3.7,0,0,0,0,6.6,5.4,6.6,7.4,50.3,60,62.5,55.7,15.6,13.7,15.9,22.4,1.6,2.1,2.3,2.7,0.7,0.6,1.1,1,0.7,0.3,0.2,0,0.5,0.4,0.4,0.4,1.7,1.5,1.8,1.3
33,คลองดาวคะนอง,ถ.พระเจ้าตากสิน หลังโรงเก็บขนมูลฝอย,30.8,31.1,30.5,30.5,7.5,7.4,7.5,7.5,3,2.9,4,3.6,0,0,0,0,6.5,6.9,7.1,6.8,60.8,64.5,60.5,59.5,10.5,12.5,13.6,22.4,1.7,2.7,2.7,2.8,0.7,0.9,0.8,1.1,0.8,0.7,0.1,0,0.7,0.3,0.5,0.2,1.6,1.7,1.8,1.5
34,คลองต้นไทร,ถ.เจริญนคร 17,30.8,31,30.3,30.2,7.5,7.4,7.4,7.4,2.6,2.9,3,2,0,0,0,0,8.6,6.9,7,9.8,72.8,71.8,57.8,51,14.1,12.6,13.6,18.8,3.4,2.9,2.4,2.4,0.8,1,1,0.7,0.7,0.5,0,0.1,0.4,0.3,0.1,0.3,1.6,1.6,1.6,1.5
35,คลองตะเข้ขบ,ถ.เฉลิมพระเกียรติ ร.9 ซ.79,28.8,29.2,29.6,29.5,7,7,7.4,7.3,1.1,1.1,1.5,1.2,0.3,0.2,0.1,1.8,9.7,7.7,8.1,9.5,77.7,54.3,68,43.3,58.6,16.2,14,10.7,6.4,5.6,7.5,8.5,2.7,3.1,4.8,5.9,0.1,0.1,0.1,0.1,2.4,2,2.3,2,0.6,0.7,0.9,0.7
36,คลองตะเข้ขบ,ถ.ลาดกระบัง ใต้ทางด่วน,28.8,29.2,29.6,29.5,7,7,7.4,7.2,1.5,2.2,2.4,1.3,0,0,0.1,0.1,6.1,5.6,8.1,8.8,40.3,48.5,90.9,57.6,14.2,16.4,9.4,16.5,5.6,5.5,8.1,6.8,2,1.7,4.6,4.7,0.1,0.3,0.3,0.2,2.5,2,3.4,2.5,0.5,0.4,0.7,0.7
37,คลองตัน,ปตร.คลองตัน,30.1,29.4,29.4,30,7.1,7,7.4,7.2,1.3,1.4,0.9,0.6,0.2,0.2,0.4,0.1,8.8,17.1,13.4,13.9,55.3,119.5,198.6,65.6,41.5,65.4,53.6,25.2,7.4,9.6,11,9.6,3.7,6.9,8.3,7.1,0.2,0.2,0.4,0.1,2.1,1.9,2,2.2,0.5,1,1.1,0.9
38,คลองตาช้าง,สถานีสูบน้ำคลองตาช้าง ถ.ศรีนครินทร์,30.3,28.8,29.1,29.8,7.2,7,7.4,7.2,2.1,0.8,0.5,0,0.4,0.3,0.9,0.7,10.9,17.5,12.8,14.8,61.8,76.9,64.6,50.7,13.3,26.5,16.6,13.7,6.2,8.8,8.5,14.1,3.9,4.9,5.7,10.2,0.1,0.2,0.3,0.1,2.2,2.2,3.2,2.2,0.7,1.1,1,1.1
39,คลองตาพุก,ถ.ลาดกระบัง ใกล้ ซ.4,28.8,28.8,29.5,30.1,7,7.1,7.5,7.1,1.3,1.5,2.2,1.3,0.1,0,0.3,0.3,11.1,7.7,9.6,12.8,54.8,55.7,121.6,62.1,14,20.5,19,27.3,6.2,5.1,9.9,10.7,3.4,2.2,6.1,6.8,0.2,0.3,0.5,0.2,2.8,2.5,3.1,2.6,0.6,0.5,1,0.9
40,คลองเตย,ปตร.คลองเตย,28.8,29.1,29.4,29.6,7,6.8,7.2,7.1,0,0,0.6,0,0.3,0.2,1.7,0.7,31.4,49.4,33.8,28.3,105.5,146.5,212.8,98.4,24.4,45.7,25.6,27.5,13.3,14.2,15.2,14.5,9.8,10.4,13.1,12,0,0,0.1,0,2.7,2.3,1.9,2.1,0.9,1.5,1.4,1.3
41,คลองเตย,อาคารทวิช,28.8,29.1,29.4,29.6,7,6.8,7.3,7.1,0,0,0,0,0.3,0.4,1.3,1.4,38.3,61.4,47.5,44.9,173.6,184.3,210.4,120.4,29.8,38.4,46.3,28.4,16.1,14.4,18.9,15.7,10.2,10.4,16,13.9,0,0,0,0.1,3.4,2.7,2.1,2.4,1,1.5,1.5,1.3
42,คลองทรายกองดิน,ถ.ราษฎร์อุทิศ สุเหร่าทรายกองดิน,28.6,29.4,29.6,29.7,7,6.9,7.4,7.2,2,2,3.5,2.4,0,0,0,0,4.2,3.5,3.6,5,37,55.5,69.3,39.8,19.2,31.5,23.3,32.8,2.6,3.6,5.6,4.7,0.8,1,3.3,1.8,0.2,0.1,0.3,0.2,2.2,2.2,2.3,2.1,0.2,0.2,0.5,0.4
43,คลองทวีวัฒนา,ถ.ปิ่นเกล้า - นครชัยศรี,30.5,30.7,30.5,30.1,7.5,7.4,7.5,7.5,3.6,3.3,3.4,3.1,0,0,0,0,6.4,5,7.3,6.8,63.6,65.8,66,57.8,12.1,12,12.5,11,1.9,2.5,2.5,2.4,0.5,0.9,0.9,1,0.8,0.6,0,0.1,0.4,0.4,0.2,0.3,2.5,2,1.3,1.5
44,คลองทวีวัฒนา,แยก ถ.เพชรเกษม 69,30.7,30.6,30.5,30.1,7.5,7.6,7.4,7.5,3.8,3.1,2.3,2.4,0,0,0,0,5.6,5.2,8.3,8.9,68.7,65.1,52,54.5,14,13.4,14.4,12.3,3,2.8,2.5,2.6,1.1,1,1.1,1,0.5,0.3,0.1,0.1,0.3,0.4,0.5,0.2,2.5,1.9,1.5,1.7
45,คลองทวีวัฒนา,สน.ศาลาแดง,30.9,30.8,30.5,30.1,7.5,7.5,7.5,7.4,3.8,3.1,3,2.7,0,0,0,0,6.4,5.6,8.9,8.3,65.5,53.6,53.9,47.2,16.5,17.9,18.8,14.3,2.7,2.8,2.6,2.6,1.1,1.3,1,0.9,0.7,0.4,0.1,0.1,0.5,0.6,0.5,0.3,1.1,1.8,1.5,1.4
46,คลองทับช้างล่าง,ถ.กรุงเทพกรีฑา ซ.ภราดร,28.2,28.7,30,29.8,7,7.3,7.4,7.1,1.4,3.5,2.4,0.6,0,0,0.2,0.2,7.2,9.6,6.3,9.3,46.5,72.3,101.5,56,8.8,23.1,14.5,12,5.1,4.6,7.8,8.1,2.6,3,5.3,5.7,0.1,0.3,0.3,0.1,2.5,2.5,2.4,2.3,0.6,0.8,1.1,0.8
47,คลองนาซอง,ถ.ประชาสงเคราะห์ (ซ.พาณิชจำนงค์),29.3,29.2,29.6,29.3,7,6.9,7.2,7.3,0.4,0.1,0.1,0.5,0.9,0.4,0.7,0.6,32.2,43.1,27.6,24.6,83.8,108.4,123,73.8,21.3,17.6,10.8,14.3,12.8,14.4,13.3,15.1,8.5,11,10.9,13.1,0.1,0.1,0.2,0.1,3,2.1,1.9,2.1,0.9,1.4,1.2,1.2
48,คลองนาซอง,ถ.พระราม 9 (สถานีสูบน้ำนาซอง),30.2,30.5,29.6,29.3,7.4,7.4,7.1,7.2,2.2,2.6,0.1,0.2,0.2,0,1.4,1.1,9.4,10.7,28.1,22.9,78.2,75.7,151.3,71,15.2,15.3,12.3,12.4,4.8,4.2,14.7,13.5,2.1,2,11.3,11.2,0.4,0.3,0.3,0.1,0.7,0.8,2.3,2.1,1.1,1.6,1.2,1.1
49,คลองน้ำแก้ว,ถ.ลาดพร้าว (ซ.ลาดพร้าว 35) ,30.9,29.2,29.4,29.3,7.1,7,7.6,7.3,0,0.3,1.1,0.3,0.8,0.1,0.2,1,20.6,23.2,12.6,17.1,79.7,94.6,79.9,99.7,17.8,42.2,19.5,15.7,12,10.8,10.5,14.5,7.6,8.2,7.2,9.9,0.1,0.2,0.2,0.1,2.3,2,2,2.2,0.8,1.4,1,1.2
50,คลองน้ำแก้ว,ถ.รัชดาภิเษก,29.5,29.1,29.4,29.2,7.1,7,7.6,7.3,0.1,0,1,0.5,0.3,0.1,0.2,1.7,30.9,34,15.3,17.4,91.2,95.9,144.8,69.2,18.7,22.4,82.4,14.8,12.4,15.3,12.1,14.2,9.3,11.3,7.7,11.4,0,0.1,0.2,0.1,2.5,2.4,1.8,2.2,0.7,1.4,1,1.2
51,คลองบัว,ถ.สวนผัก 46,30.7,30.5,30.4,30.2,7.5,7.5,7.5,7.4,3,2.5,2.7,2.5,0,0,0,0,7.6,7.2,7.4,9.4,58,71.5,71,53.8,13.8,14.3,15.1,20.8,2.2,2.4,1.9,2.5,0.5,0.7,1,1,0.8,0.4,0.1,0.1,0.4,0.5,0.3,0.3,1.8,1.5,1.9,1.4
52,คลองบัว,โรงเรียนบ้านคลองบัว ถ.สุขาภิบาล 5,29.5,28.8,29.3,29.9,7,6.9,7.3,7.2,0.3,0.8,0.3,0,1.5,0.1,1.2,1.3,16.5,15.7,14.6,17.2,70.8,59.9,94.4,65.4,19.8,20.6,10.5,14.8,8,6.7,9.3,15,4.2,4.6,6.8,13,0.2,0.3,0.2,0.1,2.5,2.6,2.1,2.3,0.8,0.9,1,0.9
53,คลองบัวคลี่,ถ.เลียบมอเตอร์เวย์ หน้าวัดลาดบัวขาว,28.2,28.7,30,29.8,7,7.1,7.4,7.2,2,3.2,3.5,1.4,0,0,0,0.1,8.8,8,4.9,9.6,52.9,52.9,108.6,65,13.7,26.7,15.1,19.4,5.9,5.2,5.9,10.7,2.6,2.7,4,7.7,0.2,0.3,0.3,0.1,2.4,2.5,2.4,2.1,0.6,0.6,1,1
54,คลองบัวลอย,ถ.ลาดกระบัง ใกล้ ซ.22,28.8,28.8,29.5,30.1,7.1,7.1,7.5,7.2,0.2,0.3,0.7,0,0.6,0.4,0.3,3.7,14.5,18.2,17.3,21.2,86.3,93.6,128.3,92,13.6,22.8,12.6,18.3,7.6,9.4,10.9,15.6,5.4,6,8.2,10.6,0.1,0.2,0.3,0.1,4.1,4,4.5,4.1,0.8,1,1.3,1.3
55,คลองบางกรวย,วัดกล้วย (ถ.บางกรวย - ไทรน้อย 22) ,28.8,28.6,29,30,7,7,7.5,7.3,2.4,2.8,2.9,3.3,0,0,0,0,3.2,3.3,4.1,4.5,27.2,35.8,88.1,33.1,15.3,26.5,16.9,28.8,2.5,2.9,3,3.2,0.3,0.2,0.4,1,0.1,0.2,0.4,0.3,1.9,1.9,2.7,2.1,0.3,0.1,0.3,0.3
56,คลองบางกรวย,วัดสำโรง (สะพานเฉลิมศักดิ์),28.8,28.6,29,30,7,7,7.5,7.3,2.2,2.8,2.7,3.1,0,0,0,0,3.5,3.2,3.7,4.8,20.9,35.7,58.6,31.8,15.5,28.1,16.4,24,2.9,2.2,3.1,3.9,0.4,0.2,0.5,0.7,0.1,0.1,0.4,0.2,2,1.9,2.8,2,0.2,0.2,0.3,0.3
57,คลองบางกระบือ,ถ.สามเสน (บจก.บุญรอดบริวเวอรี่),29.2,29.2,28.8,29.1,7.1,6.9,7.6,7.1,0.8,0.2,1.5,1.9,1.3,0.2,0.3,0.1,27.4,40.1,17.5,14.2,68.9,100.4,101.1,55.8,18.3,21.2,12.5,35,11.4,15.3,7.7,4.7,8.1,10.3,4.5,2.1,0.2,0.2,0.4,0.4,2.4,2.1,2.3,2.3,0.9,1.5,1,0.6
58,คลองบางกอกน้อย,ถ.อรุณอัมรินทร์,30.5,30.9,30.4,30.3,7.5,7.5,7.5,7.5,4,3.2,2.6,2.9,0,0,0,0,7,6.3,7.3,7.1,64.8,57.4,63.5,58.7,21,14.5,13.4,15.3,2,2.6,2.9,2.3,1.2,1.3,0.9,0.6,0.6,0.7,0.2,0.2,0.3,0.3,0.4,0.4,1.8,1.9,2.2,2
