id_pump,name,dcode,capacity,location,function,geometry
015,สถานีสูบน้ำสามเสน,1002,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,ปากคลองสามเสน ถ.ขาว แขวงวชิรพยาบาล เขตดุสิต,การสูบระบายน้ำออกจากคลองสามเสน,POINT (662857.386823 1524131.193033)
014,สถานีสูบน้ำบางซื่อ,1002,17 เครื่อง 3 ลูกบาศก์เมตร/วินาที,ปากคลองบางซื่อ ติดวัดแก้วฟ้าจุฬามณี เขตบางซื่อ,การสูบน้ำออกจากคลองบางซื่อ ซึ่งเป็นคลองหลักและมีความสัมพันธ์กันระหว่างคลองเปรมประชากรตัดผ่านช่งหน้าตลาดบางซื่อและไปบรรจบกับคลองลาดพร้าวช่วงโชค,POINT (664138.694158 1526140.56425)
007,สถานีสูบน้ำพระราม 4,1033,4 เครื่อง,พื้นที่การรถไฟแห่งประเทศไทย ถ.เชื้อเพลิง แขวงคลองเตย เขตคลองเตย,การสูบระบายน้ำควบคุมระดับน้ำในอุโมงค์รับน้ำแนวถนนพระราม4 เชื่อมคลองผดุงกรุงเกษม แสนแสบ สาทร ช่องนนทรีย์ไผ่สิงโต,POINT (668116.259688 1516247.588197)
016,สถานีสูบน้ำเทเวศร์,1001,"2 เครื่อง 0.3 ลูกบาศก์เมตร,5 เครื่อง3 ลูกบาศก์เมตร",ตั้งอยู่ที่ท่าน้ำเทเวศร์ ถ.กรุงเกษม เขตพระนคร,การสูบน้ำออกจากคลองผดุงกรุงเกษมเป็นคลองหลักในการระบายน้ำและการป้องกันน้ำท่วม,POINT (662224.657381 1523014.683544)
013,สถานีสูบน้ำกรุงเกษม,1004,41 เครื่อง,ตั้งอยู่ที่บริเวณท่าน้ำสี่พระยา ปลายคลองผดุงกรุงเกษม เขตบางรัก,ป้องกันและแก้ไขน้ำท่วม,POINT (663627.030783 1518336.660246)
012,สถานีสูบน้ำช่องนนทรี,1012,7 เครื่อง 42 ลูกบาศก์เมตร/วินาที,ตั้งอยู่บนถนนพระรามที่ 3 ตัดคลองช่องนนทรี,การสูบน้ำระบายน้ำและคบคุมระดับน้ำในคลองช่องนนทรีเชื่อมต่อกับคลองสาทรและคูน้ำกลางถนนพระรามที่ 3,POINT (667352.721449 1514071.700538)
006,สถานีสูบน้ำพระโขนง,1033,51 เครื่อง,ตั้งอยู่ปลายคลองพระโขนง,การสูบระบยน้ำและควบคุมระดับน้ำในคลองพระโขนงซึ่งเชื่อมต่อคลองประเวศ คลองแสนแสบ และคลองลาดพร้าว,POINT (670966.970441 1515044.454612)
005,สถานีสูบน้ำคลองเตย,1033,15 เครื่อง 30 ลูกบาศก์เมตร/วินาที,ตั้งอยู่บนทางรถไฟสายเก่า ใกล้วัดสะพาน เขตคลองเตย กรุงเทพฯ,ป้องกันและแก้ไขน้ำท่วมขังในพื้นที่รับผิดชอบประมาณ 12 ตร.กม.ในพื้นที่เขตคลองเตย,POINT (671861.84186 1515709.344035)
011,สถานีสูบน้ำบางกอกใหญ่,1015,18 เครื่อง 3 ลูกบาศก์เมตร / วินาที / เครื่อง,ใกล้วัดกัลยาณ์ เขตธนบุรี กรุงเทพฯ,ดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วมรวมทั้งการป้องกันน้ำเค็มเข้าพื้นที่เขตธนบุรี บางกอกใหญ่ และบางส่วนเขตภาษีเจริญ,POINT (661467.278521 1519568.227324)
008,สถานีสูบน้ำคลองชักพระ,1019,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,อยู่ใกล้สะพานข้างคลองชักพระ ถนนบางกอกน้อย-ตลิ่งชัน เขตตลิ่งชัน กรุงเทพฯ,การดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วม รวมทั้งการป้องกันน้ำเค็มเข้ามาในพื้นที่ด้านฝั่งธนบุรี เขตบางกอกน้อยและเขตตลิ่งชัน,POINT (658407.382143 1523752.837258)
009,สถานีสูบน้ำคลองมอญ,1016,8 เครื่อง 3 ลูกบาศก์เมตร/วินาที,บริเวณปากคลองมอญ อยู่ในวัดเครือวัลย์ ถ.อรุณอัมรินทร์ บางกอกใหญ่ กรุงเทพฯ,การดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วมรวมทั้งการป้องกันน้ำเค็มเข้ามาในพื้นที่ด้านฝั่งธนบุรี เขตบางกอกใหญ่ บางกอกน้อย และบางส่วนเขตตลิ่งชัน,POINT (660535.839166 1520228.806724)
010,สถานีสูบน้ำดาวคะนอง,1015,15 เครื่อง 3 ลูกบาศก์เมตร/วินาที,บริเวณปากคลองดาวคะนอง เขตธนบุรี กรุงเทพฯ,ดำเนินการป้องกันและแก้ไขปัญหาน้ำท่วม รวมทั้งการป้องกันน้ำเค็มเข้าในพื้นที่เขตราษฎร์บูรณะ เขตจอมทองบางส่วนเขตทุ่งครุและบางขุนเทียน,POINT (660738.566836 1514518.568005)
001,สถานีสูบน้ำคลองบางเขนเก่า,1005,3 เครื่อง 9 ลูกบาศก์เมตร/วินาที,บริเวณคูน้ำวิภาวดี เขตบางเขน,แก้ไขปัญหาน้ำท่วมบริเวณถนนวิภาวดีรังสิต พื้นที่หลักสี่ และพื้นที่ใกล้เคียง 8 ตารางกิโลเมตร,POINT (675513.760688 1534558.20059)
002,สถานีสูบน้ำคลองบางเขนใหม่,1041,10 เครื่อง 30 ลูกบาศก์เมตร/วินาที,บริเวณคลองบางเขน,ถนนพหลโยธิน ถนนวิภาวดีรังสิต เพื่อระบายน้ำลงสู่คลองเปรมประชากร,POINT (668788.2319 1532231.8171)
003,สถานีสูบน้ำคลองส้มป่อย,1037,2 เครื่อง 2 ลูกบาศก์เมตร/วินาที,คลองส้มป่อย เขตราชเทวี,ถนนเพชรบุรี,POINT (664443.258406 1521315.50132)
004,สถานีสูบน้ำวัดสร้อยทอง,1029,2 เครื่อง 2 ลูกบาศก์เมตร/วินาที,บริเวณวัดสร้อยทอง,,POINT (664437.6274 1527581.9592)