id_flood,name,dcode,location,type_gate,num_gate,size,geometry
54,ประตูระบายน้ำกรมสรรพาวุธ,1002,ถ.เตชะวิช ติดคลองเปรมประชากรหน้ากรมสรรพาวุธ,01,1,กว้าง4.1 ม.*สูง4.0ม.,POINT (100.532094 13.797723)
55,ประตูระบายน้ำตลาดบางซื่อ,1029,ถ. เตชะวนิช ติดคลองเปรมประชากรหน้าตลาดบางซื่อ,01,1,กว้าง4.1ม.*สูง4.0ม.,POINT (100.533368 13.800097)
77,ประตูระบายน้ำคลองตาอูฐ ตอนคลองเปรมประชากร,1036,คลองเปรมประชากร,05,1,กว้าง6.3ม.*สูง4.0ม.,POINT (100.587586 13.899384)
62,ประตูระบายน้ำอินทาระ35,1026,ถ.สุทธิสาร อินทามระ 35 ติดคลองบางซื่อ,-,1,กว้าง6.0*สูง1.5ม.,POINT (100.564076 13.794762)
63,ประตูระบายน้ำท่าซุง,1029,ใกล้สะพานพระราม6 ติดแม่น้ำเจ้าพระยา,05,1,กว้าง6.0*สูง5.5ม.,POINT (100.518161 13.812098)
12,ประตูระบายน้ำคลองลำกระโดง9 (คลองตาเหล็ก),1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.516694 13.686786)
5,ประตูระบายน้ำคลองบางโคล่ใหญ่,1031,ถนนพระราม3,02,1,กว้าง4.0ม*สูง4.0ม.,POINT (100.51199 13.688985)
13,ประตูระบายน้ำคลองบางโคล่,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.514337 13.688403)
14,ประตูระบายน้ำคลองบางโคล่น้อย,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.505303 13.689672)
2,ประตูระบายน้ำคลองวัดจันทร์นอก,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.502068 13.691458)
15,ประตูระบายน้ำคลองบางคอแหลม,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.49871 13.693862)
16,ประตูระบายน้ำคลองถนนตก,1031,ถนนพระราม3,02,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.498198 13.694765)
51,ประตูระบายน้ำคลองบ้านใหม่,1031,ถนนเจริญกรุง,02,1,กว้าง4.0ม.*สูง5.0ม.,POINT (100.49264 13.692757)
61,ประตูระบายน้ำแสนแสบเก่า,1007,ริมคลองแสนแสบ ถ.เพชรบุรี,03,2,กว้าง5.0ม.*สูง6.0ม.,POINT (100.551308 13.748367)
53,ประตูระบายน้ำลาดพร้าว56,1017,ซ. ลาดพร้าว 56,03,1,กว้าง4.0ม.*สูง6.30ม.,POINT (100.589328 13.794332)
8,ประตูระบายน้ำบึงลำพังพวย (ตอนนวมินทร์),1027,เขตบึงกุ่ม กรุงเทพมหานคร,04,2,กว้าง4.0ม.*สูง3.1ม.,POINT (100.648105 13.784755)
3,ประตูระบายน้ำคลองสะแก,1034,ข้าง รพ.แพทย์ปัญญา,03,1,กว้าง6.0ม.*สูง3.5ม.,POINT (100.610684 13.742912)
64,ประตุระบายน้ำคลองบางกะปิ,1017,ใกล้วัดอุทัยธาราม ถ.เพชรบุรี,03,1,กว้าง6.0ม.*สูง3.5ม.,POINT (100.570207 13.751251)
1,ประตูระบายน้ำคลงอกะจะ(ตอนถนนศรีนครินทร์),1034,ติดสะพานคลองกะจะ ถ.ศรีนครินทร์,03,1,กว้าง4.0ม.*สูง3.5ม.,POINT (100.634615 13.74976)
57,ประตูระบายน้ำแยกคลองพลับพลาตอนคลองลาดพร้าว,1045,ซอยรามคำแหง 21 ใกล้สถานีตำรวจนครบาลวังทองหลาง,03,1,กว้าง4.26ม.*สูง3.3ม.,POINT (100.598993 13.756598)
69,ประตูระบายน้ำประเวศ (กระทุ่มเสือปลา),1032,ข้างวัดกระทุ่มเสือปลา ถ.อ่อนนุช,03,2,กว้าง6.0ม.*สูง6.0ม.,POINT (100.68779 13.723909)
70,ประตูระบายน้ำบางชัน(ตอนคลองแสนแสบ),1043,ถ.เสรีไทย,03,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.705218 13.797938)
71,ประตูระบายน้ำพระยาสุเรนทร์(ใต้),1043,ซ.คู้บอน ถ.รามอินทรา,03,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.660849 13.839676)
17,ประตูระบายน้ำคลองหม้อแตก,1042,คลองหม้อแตกตัด ถ.สายไหม,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.662252 13.921544)
72,ประตูระบายน้ำคลองสองใต้,1042,คลองสองตัด ถ.สายไหม,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.639615 13.931822)
73,ประตูระบายน้ำแสนแสบ (มีนบุรี),1010,ถ.ราษฏร์อุทิศ,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.747398 13.821017)
74,ประตูระบายน้ำลาดกระบัง,1032,ถ.อ่อนนุช,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.749901 13.724153)
18,ประตูระบายน้ำพระยาสุเรนทร์(เหนือ),1042,ใกล้วัดหนองใหญ่ ถ.สายไหม,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.687199 13.921209)
6,ประตูระบายน้ำคลองหนึ่งลำปลาทิว,1003,คลองหนึ่งลำปลาทิว ตัด ถ.อยู่วิทยา,05,1,กว้าง4.0ม*สูง4.0ม.,POINT (100.869905 13.828581)
7,ประตูระบายน้ำคลองหนึ่งตะวันออก,1003,คลองหนึ่งตะวันออก ตัด ถ.นิมิตรใหม่,05,1,กว้าง4.0ม*สูง4.0ม.,POINT (100.733146 13.850573)
19,ประตูระบายน้ำคลองลำปลาทิว,1003,คลองสองลำปลาทิว ตัด ถ.อยู่วิทยา,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.871932 13.815829)
20,ประตูระบายน้ำคลองสองตะวันตก,1046,คลองสองตะวันตก ตัด ถ. หทัยราษฏร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.723111 13.864024)
4,ประตูระบายน้ำคลองสามตะวันออก,1046,คลองสามตะวันตกตัด ถ. หทัยราษฏร์,05,1,กว้ง4.0ม.*สูง4.0ม.,POINT (100.7228 13.879554)
21,ประตูระบายน้ำคลองสี่ตะวักตก,1046,คลองสี่ตะวันตก ตัด ถ. หทัยราษฏร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.722464 13.895876)
75,ประตูระบายน้ำคลองสามวา,1046,คลองสามวา ตัด ถ. หทัยนฤมิตร,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.729238 13.85957)
22,ประตูระบายน้ำคลองลำเบน,1046,คลองลำเบนตัด ถ. หทัยราษกร์,05,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.722276 13.906731)
76,ประตูระบายน้ำคลองลำบึงขวาง,1010,คลองลำบึงขวาง ตัด ถ.ร่มเกล้า,05,1,กว้าง6.0ม.*สูง6.0ม.,POINT (100.744755 13.799509)
58,ทำนบและประตูระบายน้ำคลองปากคลองลำต้อยติง,1011,คลองหลวงแพ่ง ถ.ร่วมพัฒนา,06,1,กว้าง4.30ม.*สูง3.0ม.,POINT (100.858289 13.727754)
59,ทำนบและประตูระบายน้ำคลองลำตาแฝง,1003,คลองหลวงแพ่ง ถ.ร่วมพัฒนา,03,1,กว้าง4.3ม.*สูง3.0ม.,POINT (100.872514 13.797437)
23,ประตูระบายน้ำวัดอรุณ,1016,ถ.อรุณอัมรินทร์,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.485137 13.747189)
24,ประตูระบายน้ำวัดระฆัง,1016,ถ.อรุณอัมรินทร์,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.48375 13.752133)
56,ประตูระบายน้ำคลองสวัสดิ์,1048,ซ.บรมราชชนี 121 ทางเข้าหมู่บ้านพรรณพฤกษา,03,1,กว้าง4.25ม.*สูง4.1ม.,POINT (100.346831 13.778851)
11,ประตูระบายน้ำคลองวัดนาคปรก,1015,ถ.วุฒากาศ ทางเข้าวัดนาคปรก,03,1,กว้าง4.0ม.*สูง3.75ม.,POINT (100.470889 13.715744)
25,ประตูระบายน้ำคลองวัดเจ้าอาม,1019,ถ.บางขุนนนท์-ตลิ่งชัน เยื้องวัดเจ้าอาม,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.464825 13.778915)
67,ประตูระบายน้ำคลองโพ,1048,ถ.พุทธมณฑลสาย2,03,1,กว้าง6.0ม.*สูง4.5ม.,POINT (100.394834 13.796749)
46,ประตูระบายน้ำคลองบางคูเวียง,1048,ถ.พัฒนาศาลาธรรมสพน์,03,1,กว้าง4.0ม.*สูง4.5ม.,POINT (100.359502 13.800006)
26,ประตูระบายน้ำคลองบางขุนนท์,1020,ถ.บางขุนนท์- ตลิ่งชัน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.466881 13.772946)
47,ประตูระบายน้ำคลองบัว,1019,ทางรถไฟสายใต้,03,1,กว้าง4.0ม.*สูง4.5ม.,POINT (100.416522 13.799169)
68,ประตูระบายน้ำคลองทวีวัฒนา,1048,ถ.พัฒนาศาลาธรรมสพน์,03,1,กว้าง6.0ม.*สูง5.0ม.,POINT (100.329745 13.800471)
48,ประตูระบายน้ำคลองควาย,1048,ถ.พัฒนาศาลาธรรมสพน์,03,1,กว้าง4.0ม.*สูง4.5ม.,POINT (100.381475 13.797618)
49,ประตูระบายน้ำคลองซอย,1048,ถ.พัฒนาศาลาธรรมสพน์,03,1,กว้าง4.0ม.*สูง4.5ม.,POINT (100.381922 13.795446)
50,ประตูระบายน้ำคลองขุนศรีบุรีรักษ์,1048,ถ.พัฒนาศาลาธรรมสพน์,03,1,กว้าง4.0ม.*สูง4.5ม.,POINT (100.369234 13.798878)
27,ประตูระบายน้ำปากคลองวัดทองเพลง,1018,สะพานเจริญนคร 2,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.503277 13.724918)
28,ประตูระบายน้ำปากคลองบางลำภูล่าง,1018,ปากคลองวัดเศวต ซอยเจริญนคร 4,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.505228 13.714698)
29,ประตูระบายน้ำปากคลองต้นไทร,1018,สะพานเจริญนคร 3,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.509028 13.729789)
30,ประตูระบายน้ำคลองห้าเจดีย์,1035,คลองด่าน ถ.วุฒากาศ,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.468477 13.701638)
31,ประตูระบายน้ำคลองสำเหร่ ถนนเทอไท,1015,ถ.เทอดไท,01,2,กว้าง4.0ม.*สูง4.0ม.,POINT (100.482126 13.72245)
32,ประตูระบายน้ำคลองวัดอนงค์,1018,ซอยอุทัย ถ.พญาไม้,01,2,กว้าง4.0ม.*สูง4.0ม.,POINT (100.498073 13.736411)
33,ประตูระบายน้ำคลองวัดเศวต เจริญนคร 4,1018,สะพานเจริญนคร 4,01,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.509364 13.725677)
60,ประตูระบายน้ำคลองวัดทองเพลง เจริญนคร 2,1018,สะพานเจริญนคร 2,01,1,กว้าง5.0ม.*สูง4.0ม.,POINT (100.504293 13.725081)
34,ประตูระบายน้ำคลองบุบผาราม,1015,ข้างสน.บุปผาราม,01,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.490273 13.736289)
52,ประตูระบายนน้ำคลองบางบูน,1024,ถ.ราษฏร์บูรณะ,03,1,กว้าง4.0ม.*สูง5.0ม.,POINT (100.505123 13.682361)
35,ประตูระบายน้ำคลองบางค้อ(ตอนถนนวุฒากาศ),1015,สะพานวุฒากาศ 2,01,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.471908 13.716773)
65,ประตูระบายน้ำคลองต้นไทร เจริญนคร 3,1018,สะพานเจริญนคร 3,01,1,กว้าง6.0ม.*สูง4.0ม.,POINT (100.511372 13.728171)
66,ประตูระบายน้ำประตูเรือสัญจร วัดลูกวัว,1021,ซ.เทียนทะเล25 ถ.บางขุนเทียน-ชายฝั่งทะเล,03,1,กว้าง6.0ม.*สูง4.0ม.,POINT (100.44192 13.570461)
9,ประตูระบายน้ำลองแยกคลองเชิงตาแพ,1021,ซ.เทียนทะเล25 ถ.บางขุนเทียน-ชายฝั่งทะเล,03,1,กว้าง4.0ม.*สูง3.5ม.,POINT (100.431709 13.572973)
10,ประตูระบายน้ำลองรางยายเพียร,1021,ซ.เทียนทะเล25 ถ.บางขุนเทียน-ชายฝั่งทะเล,03,1,กว้าง4.0ม.*สูง3.5ม.,POINT (100.434093 13.593654)
36,ประตูระบายน้ำคลองรางยายคง,1021,ถ.บางขุนเทียน-ชายฝั่งทะเล,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.432064 13.500427)
37,ประตูระบายน้ำคลองหัวกระบือ,1021,ถ.แสมดำ เขตบางุนเทียน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.445611 13.572279)
38,ประตูระบายน้ำคลองรางโพธิ์,1021,ถ.อนามัยงามเจริญ เขตบางขุนเทียน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.410508 13.610129)
39,ประตูระบายน้ำคลองบุญสขุ,1021,ถ.อนามัยงามเจริญ เขตบางขุนเทียน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.413117 13.606924)
40,ประตูระบายน้ำคลองรางสะแก,1021,ถ.อนามัยงามเจริญ เขตบางขุนเทียน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.434138 13.625494)
41,ประตูระบายน้ำคลองนา,1021,ถนนคลองกระออม-คลองสวน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.468479 13.604963)
42,ประตูระบายน้ำคลองม่วง,1021,ซ.บางกระดี่ 32 ถ.บางกระดี่ แขวงแสมดำ,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.401924 13.605241)
43,ประตูระบายน้ำคลองบางขนุน,1021,ซ.บางกระดี่ 32 ถ.บางกระดี่ แขวงแสมดำ,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.391991 13.595294)
44,ประตูระบายน้ำคลองตรง,1021,ซ.จุลพงษ์ ถ.บางขุนเทียน-ชายทะเล,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.411601 13.614028)
45,ประตูระบายน้ำคลองวัดใหม่ภาวนา(ปากคลอง),1020,ซ.วัดใหม่ภาวนา ถ.บางขุนนท์-ตลิ่งชัน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.468188 13.77754)
